11.75,12.00,11.88,12.00,11.75,11.88,12.00,11.50,11.38,11.13,11.50,11.50,11.50,11.13,11.50,13.50,14.88,17.00,20.00,20.25,20.25,19.75,20.13,19.88,20.50,21.00,21.88,21.50,21.13,21.25,21.38,21.38,20.38,20.50,20.00,17.38,15.50,14.13,13.88,12.75,12.13,11.13,11.38,10.88,12.13,12.25,11.88,11.75
11.50,12.00,11.88,11.50,11.88,12.38,12.13,10.88,11.38,11.75,11.63,11.25,11.50,11.88,11.88,13.00,14.63,16.88,20.25,20.13,20.88,20.00,20.25,21.13,21.75,21.63,21.63,22.75,22.75,22.50,21.25,21.00,20.75,20.50,19.75,17.00,15.88,15.38,14.75,14.25,13.00,12.50,12.63,11.75,12.63,13.13,12.75,11.88
12.63,12.50,12.88,12.75,13.13,13.00,12.88,12.00,13.25,13.00,11.75,12.63,12.63,12.75,14.13,15.00,15.75,17.50,19.75,20.88,21.13,21.00,20.00,19.50,20.00,20.38,20.75,20.25,20.13,20.88,20.75,19.75,20.63,20.00,19.25,17.00,16.25,15.00,13.88,13.38,13.13,12.75,12.38,12.00,12.88,12.13,11.50,11.25
11.75,11.63,11.63,11.75,11.63,11.88,11.63,10.88,11.75,11.63,12.00,11.50,11.50,11.50,12.00,12.50,14.63,16.13,19.00,19.75,19.75,20.63,20.75,20.25,20.13,20.50,20.88,21.38,21.38,21.63,22.13,20.88,20.38,20.00,19.88,18.50,17.88,16.75,14.88,14.13,13.75,13.50,13.75,13.75,14.00,13.63,13.38,13.75
12.88,13.25,13.38,13.50,12.75,12.75,13.13,11.50,12.38,11.88,11.50,11.75,11.50,12.13,12.50,13.75,15.13,16.75,19.25,20.13,21.00,20.63,20.38,20.13,20.50,21.38,21.13,21.13,21.25,20.50,20.38,20.00,20.13,20.38,19.13,16.50,15.50,15.00,14.75,13.50,12.63,11.50,12.00,12.00,11.50,11.38,11.38,11.88
11.88,10.88,12.13,12.25,11.75,11.63,11.25,11.63,11.63,11.75,11.25,11.25,11.75,11.75,12.00,11.38,10.88,11.25,12.00,13.25,12.75,12.63,11.88,11.50,11.75,12.50,12.13,11.50,11.75,11.38,11.88,12.00,11.75,11.63,11.88,11.88,11.88,12.13,12.00,11.75,11.13,11.38,12.00,11.75,11.75,11.25,11.25,11.88
11.63,11.75,11.88,11.75,11.50,11.88,11.50,11.25,11.38,11.88,11.75,12.13,11.88,11.88,12.00,11.63,11.00,10.88,11.63,11.38,11.63,11.63,11.75,11.63,10.75,11.63,11.88,11.38,11.63,11.25,11.38,11.88,11.75,12.00,12.38,12.13,12.88,12.38,11.50,11.88,12.00,12.00,11.88,11.88,11.63,11.88,12.00,11.75
11.13,11.13,11.25,11.88,11.63,11.50,12.00,11.63,11.63,11.50,11.38,11.50,12.00,12.00,12.50,13.63,15.00,16.75,19.63,19.88,20.75,20.50,20.13,20.38,21.50,21.25,22.38,22.63,21.13,21.75,22.38,21.00,21.13,21.00,20.88,18.38,17.75,15.50,13.88,12.25,13.50,13.00,12.75,12.63,12.75,12.75,12.38,12.38
12.25,12.25,12.13,12.25,12.63,12.63,12.75,12.63,12.13,12.50,12.75,12.88,12.75,12.38,13.38,14.63,15.25,16.13,19.38,20.50,22.50,21.25,20.63,20.88,20.75,22.50,23.00,22.00,22.75,23.00,22.63,22.13,21.75,20.00,19.13,18.13,15.75,14.25,13.88,13.25,12.25,12.63,12.25,11.13,11.50,11.00,11.13,11.25
10.38,11.38,11.25,11.25,10.88,11.00,11.00,10.88,10.75,11.38,10.88,11.00,11.38,11.13,11.50,12.38,13.88,16.00,18.75,19.63,19.63,19.38,18.88,19.88,19.75,20.38,20.88,20.63,21.38,22.13,21.88,21.13,20.88,20.63,18.75,18.50,16.63,16.13,14.00,12.88,12.00,12.00,11.75,11.75,11.38,10.88,10.88,11.50
